time,action,inst_id,side,price,size,ord_id,sl_price,tp_price,pnl_pct,vol_ratio,rsi,atr,status
2026-03-21 23:10:21,网格买入 @0.093499,DOGE-USDT-SWAP,buy,0.093499,1,,0.090694,0.094901,0.00,0.00,0.0,0.000000,failed
2026-03-21 23:11:26,网格补单 @0.093499,DOGE-USDT-SWAP,buy,0.093499,1,,0.090694,0.094901,0.00,0.00,0.0,0.000000,failed
2026-03-21 23:12:29,网格补单 @0.093499,DOGE-USDT-SWAP,buy,0.093499,1,,0.090694,0.094901,0.00,0.00,0.0,0.000000,failed
2026-03-21 23:27:52,网格买入 @0.093781,DOGE-USDT-SWAP,buy,0.093781,1,,0.090968,0.095188,0.00,0.00,0.0,0.000000,failed
2026-03-21 23:28:56,网格补单 @0.093781,DOGE-USDT-SWAP,buy,0.093781,1,,0.090968,0.095188,0.00,0.00,0.0,0.000000,failed
2026-03-21 23:30:00,网格补单 @0.093781,DOGE-USDT-SWAP,buy,0.093781,1,,0.090968,0.095188,0.00,0.00,0.0,0.000000,failed
2026-03-23 06:03:21,📈 信号做多 @2038.630000 (情绪+ADX=47+BB),ETH-USDT-SWAP,buy,2038.63,1,3412975738925047808,1997.8574,2120.1752,0.00,0.00,0.0,0.000000,success
2026-03-23 12:36:30,"📋 偏好平仓 (持long vs 偏好short, PnL=+1.01%)",ETH-USDT-SWAP,close_long,2059.24,1,3413767257810493440,0,0,0.00,0.00,0.0,0.000000,success
2026-03-23 16:22:26,📈 加权做多 @2050.98 (分=42 情绪71/ADX47/ML59),ETH-USDT-SWAP,buy,2050.98,1,3414222132763648000,2009.9604,2215.0584,0.00,0.00,0.0,0.000000,success
2026-03-23 20:00:01,"📋 偏好平仓 (持long vs 偏好short, PnL=+3.84%)",ETH-USDT-SWAP,close_long,2134.88,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-23 22:09:39,📉 加权做空 @2186.40 (分=69 情绪42/ADX46/ML14),ETH-USDT-SWAP,sell,2186.4,1,3414921186002821120,2230.128,2098.944,0.00,0.00,0.0,0.000000,success
2026-03-24 00:10:59,"📰 情绪反转平空 (score=73>65, PnL=+2.26%)",ETH-USDT-SWAP,close_short,2136.89,1,3415165511492132864,0,0,2.29,0.00,0.0,0.000000,success
2026-03-24 01:20:05,📉 加权做空 @2129.76 (分=43 情绪27/ADX42/ML19),ETH-USDT-SWAP,sell,2129.76,1,3415304593471922176,2172.3552,1959.3792,0.00,0.00,0.0,0.000000,success
2026-03-24 01:44:34,"📰 情绪反转平空 (score=67>65, 2维确认, PnL=-0.73%)",ETH-USDT-SWAP,close_short,2145.37,1,3415353901441310720,0,0,-0.73,0.00,0.0,0.000000,success
2026-03-24 01:58:21,"📰 情绪反转平空 (score=65>65, 2维确认, PnL=-1.06%)",ETH-USDT-SWAP,close_short,2152.42,1,3415381678471208960,0,0,0.00,0.00,0.0,0.000000,success
2026-03-24 02:00:13,"📰 情绪反转平多 (score=32<35, 2维确认, PnL=+0.01%)",ETH-USDT-SWAP,close_long,2152.66,1,3415385407777890304,0,0,0.01,0.00,0.0,0.000000,success
2026-03-24 02:08:24,"📰 情绪反转平空 (score=70>65, 2维确认, PnL=-0.88%)",ETH-USDT-SWAP,close_short,2148.43,1,3415401887366078464,0,0,0.00,0.00,0.0,0.000000,success
2026-03-24 05:00:05,📉 加权做空 @2160.99 (分=50 情绪27/ADX40/ML10),ETH-USDT-SWAP,sell,2160.99,1,3415747503216615424,2204.2098,1988.1108,0.00,0.00,0.0,0.000000,success
2026-03-24 07:27:25,"📰 情绪反转平空 (score=68>65, 2维确认, PnL=+0.57%)",ETH-USDT-SWAP,close_short,2148.66,1,3416044161070489600,0,0,0.58,0.00,0.0,0.000000,success
2026-03-24 16:01:36,📉 加权做空 @2163.62 (分=53 情绪69/ADX30/ML13),ETH-USDT-SWAP,sell,2163.62,1,3417079342745214976,2206.8924,2077.0752,0.00,0.00,0.0,0.000000,success
2026-03-24 19:34:04,"📰 情绪反转平空 (score=67>65, 2维确认, PnL=-0.02%)",ETH-USDT-SWAP,close_short,2164.04,1,3417507133936590848,0,0,-0.14,0.00,0.0,0.000000,success
2026-03-24 20:00:01,📉 加权做空 @2164.75 (分=53 情绪50/ADX29/ML14),ETH-USDT-SWAP,sell,2164.75,1,3417559318560989185,2208.045,2078.16,0.00,0.00,0.0,0.000000,success
